MATNR;MAKTX
RF030151;PE FILM FOR BAGS PUPI COMFORT MAXI SOFT
RP100008;PE FILM FOR BAGS PUPI COMFORT MAXI SOFT
RP100019;PE FILM FOR BAGS PUPI COMFORT MAXI SOFT
RP100018;PE FILM FOR BAGS PR!ST! COMFORT NORMAL20
RP100014;PE FILM FOR BAGS PR!ST! COMFORT NORMAL10
RP100009;PE FILM FOR BAGS PR!ST! COMFORT DRY NORM
RF030152;PE FILM FOR BAGS PR!ST! COMFORT DRY NORM
RF030149;PE FILM FOR BAGS LA-FRESH COMFORT NORMAL
RF030150;PE FILM FOR BAGS LA-FRESH COMFORT NORMAL
RP100006;PE FILM FOR BAGS LA-FRESH COMFORT NORMAL
RP100007;PE FILM FOR BAGS LA-FRESH COMFORT NORMAL
RSF03032;PE FILM FOR BAGS LA-FRESH COMFORT 10 DVA
RSF03034;PE FILM FOR BAGS LA-FRESH COMFORT 10 DVA
RP100015;PE FILM FOR BAGS LA FRESH SUPER W 10
RP100003;PE FILM FOR BAGS KAZHDY DEN COMFORT 10PC
RP100013;PE FILM FOR BAGS KAZHDY DEN COMFORT 10PC
RF030146;PE FILM FOR BAGS KAZHDY DEN COMFORT 10PC
RSF03033;PE FILM FOR BAGS COMFORT 10 DVA ANDREYA
RSP10013;PE FILM COMFORT MAXI SOFT 8 TEST
RF030144;PE FILM BAGS PR!ST! COMF NORM10 NEW DES
RP100001;PE FILM BAGS PR!ST! COMF NORM10 NEW DES
RSP12003;PBG FILM SUPER W 10 (35 micr)
RP090020;PAPER WASTE (PAPER BUSHES)
RP090025;PAPER BUSHES 6
RP040021;PALLET IPPC 1200x800
RP040017;PALLET IPP 1200x1000
RP040014;PALLET EUR NEW (BOM)
RP040022;PALLET EUR LIGHTWEIGHT 1200x800
RP040015;PALLET EUR LIGHTWEIGHT
RP040016;PALLET EUR AUCHAN
RP040001;PALLET EUR
RP040003;PALLET CHEP B1208A 1200x800
RP040006;PALLET 1200x1000
RP050049;PACKING PAPER
RP090003;PACKAGING AND PROTECTIVE FILM PERFORATE
RP026539;P29378 BAG MAGNIT LI FLUFF NORMAL X12
RO520023;P STICKY TAPE TRANSPARENT 66M WITH LOGO
RO520022;P STICKY TAPE BROWN 990M
RP075015;P STICKER SUPER 10+2
RP075018;P STICKER RST
RP075024;P STICKER PAP 21
RP075029;P STICKER 40X25MM BAMBOLINA
